Time,CPU Usage
39998.609951,72.0
39998.609967,0.4
39998.609990,0.3
39998.610014,0.0
39998.610037,0.5
39998.610060,0.2
39998.610083,40.8
39998.610107,94.6
39998.610130,97.1
39998.610153,96.4
39998.610176,96.8
39998.610199,97.1
39998.610222,97.0
39998.610246,96.7
39998.610269,95.1
39998.610292,95.0
39998.610315,94.7
39998.610338,97.1
39998.610361,97.0
39998.610385,96.6
39998.610408,95.4
39998.610431,93.5
39998.610454,96.7
39998.610477,96.1
39998.610500,97.1
39998.610523,96.2
39998.610547,97.3
39998.610570,96.7
39998.610593,96.7
39998.610616,97.0
39998.610639,97.5
39998.610662,96.0
39998.610685,96.9
39998.610709,96.9
39998.610732,93.0
39998.610755,96.7
39998.610778,96.8
39998.610801,97.0
39998.610824,95.4
39998.610848,97.0
39998.610871,96.8
39998.610894,97.3
39998.610917,96.4
39998.610940,97.0
39998.610963,97.6
39998.610986,96.5
39998.611009,96.7
39998.611033,96.2
39998.611055,89.5
39998.611078,86.5
39998.611102,86.7
39998.611125,86.3
39998.611156,73.8
39998.611171,0.4
39998.611194,0.0
39998.611217,0.0
39998.611241,0.3
39998.611264,1.0
39998.611303,47.8
39998.611318,94.7
39998.611342,96.0
39998.611379,99.0
39998.611380,3.0
39998.611411,97.5
39998.611426,94.6
39998.611450,96.2
39998.611478,96.0
39998.611506,97.2
39998.611522,94.4
39998.611542,96.0
39998.611580,78.6
39998.611608,96.3
39998.611611,87.0
39998.611635,96.2
39998.611658,96.6
39998.611705,96.9
39998.611736,96.9
39998.611752,94.8
39998.611788,77.3
39998.611798,95.1
39998.611821,94.6
39998.611845,95.8
39998.611869,96.6
39998.611891,94.5
39998.611914,96.2
39998.611952,96.3
39998.611960,94.1
39998.611984,99.0
39998.612015,74.5
39998.612030,95.2
39998.612053,95.8
39998.612100,97.2
39998.612123,96.2
39998.612149,97.0
39998.612170,95.4
39998.612193,96.0
39998.612216,95.4
39998.612247,75.8
39998.612262,94.7
39998.612285,94.9
39998.612326,97.0
39998.612332,94.0
39998.612355,95.6
39998.612378,96.0
39998.612414,96.6
39998.612424,95.3
39998.612448,97.0
39998.612470,96.6
39998.612504,97.2
39998.612523,95.8
39998.612540,96.2
39998.612563,96.8
39998.612587,94.1
39998.612609,96.9
39998.612633,95.8
39998.612656,96.8
39998.612679,96.5
39998.612702,96.4
39998.612725,96.7
39998.612748,96.5
39998.612772,96.3
39998.612795,96.6
39998.612818,96.6
39998.612841,96.3
39998.612864,96.5
39998.612887,96.8
39998.612911,96.9
39998.612938,49.2
39998.612956,0.3
39998.612979,0.0
39998.613002,0.3
39998.613026,0.0
39998.613049,0.3
39998.613089,51.7
39998.613095,78.5
39998.613118,83.9
39998.613141,82.8
39998.613164,83.1
39998.613188,83.3
39998.613211,82.6
39998.613235,83.3
39998.613257,77.6
39998.613280,82.2
39998.613303,83.1
39998.613326,82.9
39998.613350,81.4
39998.613373,79.8
39998.613396,83.2
39998.613419,82.9
39998.613442,83.3
39998.613467,79.7
39998.613489,81.0
39998.613512,83.3
39998.613535,83.0
39998.613558,82.7
39998.613581,83.2
39998.613604,83.3
39998.613627,82.2
39998.613651,83.1
39998.613674,81.5
39998.613697,78.9
39998.613720,82.9
39998.613743,82.4
39998.613766,83.1
39998.613790,83.2
39998.613813,83.1
39998.613836,83.2
39998.613859,83.1
39998.613882,82.7
39998.613905,83.2
39998.613928,83.3
39998.613951,83.3
39998.613975,82.4
39998.613998,82.7
39998.614021,83.3
39998.614044,82.9
39998.614067,83.2
39998.614090,82.8
39998.614114,83.1
39998.614137,83.0
39998.614160,83.0
39998.614183,83.4
39998.614206,83.2
39998.614229,82.9
39998.614252,83.0
39998.614276,82.7
39998.614299,83.0
39998.614322,81.9
39998.614345,83.3
39998.614369,82.5
39998.614391,82.9
39998.614414,83.3
39998.614438,83.3
39998.614461,83.1
39998.614484,82.9
39998.614507,83.1
39998.614530,83.3
39998.614553,82.9
39998.614576,83.0
39998.614600,82.5
39998.614623,83.0
39998.614646,83.0
39998.614670,82.7
39998.614692,82.2
39998.614715,83.3
39998.614739,82.9
39998.614762,82.9
39998.614785,82.8
39998.614808,83.2
39998.614831,83.3
39998.614854,82.8
39998.614877,83.4
39998.614901,82.4
39998.614924,83.0
39998.614947,83.2
39998.614970,82.8
39998.614993,83.4
39998.615017,83.2
39998.615039,82.1
39998.615063,83.2
39998.615086,82.9
39998.615109,83.3
39998.615132,83.4
39998.615155,83.0
39998.615178,83.0
39998.615201,83.5
39998.615225,83.3
39998.615248,83.4
39998.615271,82.5
39998.615294,83.2
39998.615317,83.4
39998.615340,83.4
39998.615364,83.0
39998.615387,82.1
39998.615410,82.8
39998.615433,83.4
39998.615456,83.1
39998.615479,82.7
39998.615502,83.2
39998.615526,83.0
39998.615549,82.8
39998.615572,83.1
39998.615595,83.1
39998.615618,82.8
39998.615641,83.2
39998.615664,83.0
39998.615688,83.3
39998.615711,82.7
39998.615734,89.3
39998.615757,85.5
39998.615780,82.7
39998.615803,82.9
39998.615827,82.8
